"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_01","see something","take a walk","mind","action","causation_first",0.74,0.05
"subj_01","get sick","take a walk","bio","action","causation_first",0.76,0.86
"subj_01","hear something","take a walk","mind","action","causation_first",0.46,0.1
"subj_01","reach for something","take a walk","action","action","causation_first",0.15,0.74
"subj_01","remember something","take a walk","mind","action","causation_first",0.66,0.24
"subj_01","experience pain","take a walk","bio","action","causation_first",0.46,0.25
"subj_01","become hungry","take a walk","bio","action","causation_first",0.38,0.67
"subj_01","choose what to do","take a walk","mind","action","causation_first",0.21,0.25
"subj_01","jump up and down","take a walk","action","action","causation_first",0.06,0.25
"subj_01","sit down","take a walk","action","action","causation_first",0.19,1
"subj_01","think about something","take a walk","mind","action","causation_first",0.5,0.24
"subj_01","get tired","take a walk","bio","action","causation_first",0.05,0.85
"subj_01","kick something","take a walk","action","action","causation_first",0.61,0.24
"subj_01","feel scared","take a walk","bio","action","causation_first",0.46,0.17
"subj_01","see something","become hungry","mind","bio","causation_first",0.71,0
"subj_01","get sick","become hungry","bio","bio","causation_first",0.94,0.18
"subj_01","hear something","become hungry","mind","bio","causation_first",0.71,0.26
"subj_01","reach for something","become hungry","action","bio","causation_first",0.29,0.22
"subj_01","remember something","become hungry","mind","bio","causation_first",0.7,0.05
"subj_01","experience pain","become hungry","bio","bio","causation_first",0.28,0.26
"subj_01","take a walk","become hungry","action","bio","causation_first",0.38,0.09
"subj_01","choose what to do","become hungry","mind","bio","causation_first",0.15,0.7
"subj_01","jump up and down","become hungry","action","bio","causation_first",0.41,0.09
"subj_01","sit down","become hungry","action","bio","causation_first",0.58,0.24
"subj_01","think about something","become hungry","mind","bio","causation_first",0.04,0.02
"subj_01","get tired","become hungry","bio","bio","causation_first",0.52,0.25
"subj_01","kick something","become hungry","action","bio","causation_first",0.35,0.81
"subj_01","feel scared","become hungry","bio","bio","causation_first",0.81,0.23
"subj_01","see something","choose what to do","mind","mind","causation_first",0.84,0.15
"subj_01","get sick","choose what to do","bio","mind","causation_first",0.98,0.21
"subj_01","hear something","choose what to do","mind","mind","causation_first",0.71,0.74
"subj_01","reach for something","choose what to do","action","mind","causation_first",0.02,0.41
"subj_01","remember something","choose what to do","mind","mind","causation_first",0.8,0.15
"subj_01","experience pain","choose what to do","bio","mind","causation_first",0.45,0.14
"subj_01","take a walk","choose what to do","action","mind","causation_first",0.21,0.19
"subj_01","become hungry","choose what to do","bio","mind","causation_first",0.15,0.2
"subj_01","jump up and down","choose what to do","action","mind","causation_first",0.32,0.97
"subj_01","sit down","choose what to do","action","mind","causation_first",0.49,0.2
"subj_01","think about something","choose what to do","mind","mind","causation_first",0.31,0.21
"subj_01","get tired","choose what to do","bio","mind","causation_first",0.37,0.78
"subj_01","kick something","choose what to do","action","mind","causation_first",0.56,0.22
"subj_01","feel scared","choose what to do","bio","mind","causation_first",0.76,0.22
"subj_01","see something","jump up and down","mind","action","causation_first",0.58,0.28
"subj_01","get sick","jump up and down","bio","action","causation_first",0.58,0.99
"subj_01","hear something","jump up and down","mind","action","causation_first",0.28,0.25
"subj_01","reach for something","jump up and down","action","action","causation_first",0.31,0.8
"subj_01","remember something","jump up and down","mind","action","causation_first",0.49,0.76
"subj_01","experience pain","jump up and down","bio","action","causation_first",0.36,0.96
"subj_01","take a walk","jump up and down","action","action","causation_first",0.06,0.8
